id,type,period,figure_num,page_num,pottery_id,caption_text,position,rotation,folder,image_path,page_ref,collection,source_pdf,decoration,part_type,vessel_type,macro_period,site,context,reference,pdf_page,figure_ref,scale,scale_factor
Degli_Espositi_1_SU_53.png,ENT,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXII,22.0,"SU 53,1","SU 53,1 Al SU 53,5",TOP,RIGHT,TAV_XXII,Degli_Espositi/TAV_XXII/Degli_Espositi_1_SU_53.png,"pp. 74, 76 (Cap. 4.8.1)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,jar,,,,,,,,
Degli_Espositi_2.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXII,22.0,,"SU 53,2 SU 53,1 Al",TOP,RIGHT,TAV_XXII,Degli_Espositi/TAV_XXII/Degli_Espositi_2.png,"pp. 74, 76 (Cap. 4.8.1)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_3.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXII,22.0,,"SU 53,6 Al SU 53,5",TOP,RIGHT,TAV_XXII,Degli_Espositi/TAV_XXII/Degli_Espositi_3.png,"pp. 74, 76 (Cap. 4.8.1)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_4.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXII,22.0,,"SU 53,3 257 SU 53,2",TOP,RIGHT,TAV_XXII,Degli_Espositi/TAV_XXII/Degli_Espositi_4.png,"pp. 74, 76 (Cap. 4.8.1)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,plain,complete,jar,,,,,,,,
Degli_Espositi_5.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXII,22.0,,"257 SU 53,6 Al",TOP,RIGHT,TAV_XXII,Degli_Espositi/TAV_XXII/Degli_Espositi_5.png,"pp. 74, 76 (Cap. 4.8.1)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_6.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXIII,23.0,,"9 Al SU 54,2",TOP,RIGHT,TAV_XXIII,Degli_Espositi/TAV_XXIII/Degli_Espositi_6.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_7_9.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXIII,23.0,9,"9 SU 54,1 Al molto fine",TOP,RIGHT,TAV_XXIII,Degli_Espositi/TAV_XXIII/Degli_Espositi_7_9.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_8.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXIV,24.0,,"SU 55,17 Al SU 55,19",BOTTOM,RIGHT,TAV_XXIV,Degli_Espositi/TAV_XXIV/Degli_Espositi_8.png,p. 76 (confronto Hili IIf),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,bowl,,,,,,,,
Degli_Espositi_9.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXIV,24.0,,"SU 55,19 SU 55,15 SU 55.18",TOP,RIGHT,TAV_XXIV,Degli_Espositi/TAV_XXIV/Degli_Espositi_9.png,p. 76 (confronto Hili IIf),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_10.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXIV,24.0,,"SU 55,15 SU 55,2 Al",TOP,RIGHT,TAV_XXIV,Degli_Espositi/TAV_XXIV/Degli_Espositi_10.png,p. 76 (confronto Hili IIf),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,plain,complete,plate,,,,,,,,
Degli_Espositi_11.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXIV,24.0,,"SU 55,2 Al SU 55,8",TOP,RIGHT,TAV_XXIV,Degli_Espositi/TAV_XXIV/Degli_Espositi_11.png,p. 76 (confronto Hili IIf),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,plain,complete,plate,,,,,,,,
Degli_Espositi_12.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXIV,24.0,,"Al SU 55,8 Al",TOP,RIGHT,TAV_XXIV,Degli_Espositi/TAV_XXIV/Degli_Espositi_12.png,p. 76 (confronto Hili IIf),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_13.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXIV,24.0,,"Al SU 55,1 5",TOP,RIGHT,TAV_XXIV,Degli_Espositi/TAV_XXIV/Degli_Espositi_13.png,p. 76 (confronto Hili IIf),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,plain,complete,plate,,,,,,,,
Degli_Espositi_14.png,FRAG,Umm an-Nar / Hili IIf (2250-2100 a.C.),TAV XXIV,24.0,,"5 259 SU 55,8",TOP,RIGHT,TAV_XXIV,Degli_Espositi/TAV_XXIV/Degli_Espositi_14.png,p. 76 (confronto Hili IIf),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_15.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXV,25.0,,"SU 55,16 A2 SU 55,13",TOP,RIGHT,TAV_XXV,Degli_Espositi/TAV_XXV/Degli_Espositi_15.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,jar,,,,,,,,
Degli_Espositi_16.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXV,25.0,,"A2 SU 55,13 SU 55,5",TOP,RIGHT,TAV_XXV,Degli_Espositi/TAV_XXV/Degli_Espositi_16.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_17.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXV,25.0,,"SU 55,5 A Al",TOP,RIGHT,TAV_XXV,Degli_Espositi/TAV_XXV/Degli_Espositi_17.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_18.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXV,25.0,,"A Al SU 55,14",TOP,RIGHT,TAV_XXV,Degli_Espositi/TAV_XXV/Degli_Espositi_18.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_19.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXV,25.0,,"SU 55,3 Al A",TOP,RIGHT,TAV_XXV,Degli_Espositi/TAV_XXV/Degli_Espositi_19.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_20.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXV,25.0,,"260 SU 55,14 Al",TOP,RIGHT,TAV_XXV,Degli_Espositi/TAV_XXV/Degli_Espositi_20.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,jar,,,,,,,,
Degli_Espositi_21.png,FRAG,Umm an-Nar / Hili IId-IIe (2300-2150 a.C.),TAV XXVI,26.0,,"A2 SU 56,5 Al / D",BOTTOM,RIGHT,TAV_XXVI,Degli_Espositi/TAV_XXVI/Degli_Espositi_21.png,"p. 76 (Tavv. XXVI, XXVII, XXXI)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,plain,complete,jar,,,,,,,,
Degli_Espositi_22.png,FRAG,Umm an-Nar / Hili IId-IIe (2300-2150 a.C.),TAV XXVI,26.0,,"Al / D SU 56,6 Al",BOTTOM,RIGHT,TAV_XXVI,Degli_Espositi/TAV_XXVI/Degli_Espositi_22.png,"p. 76 (Tavv. XXVI, XXVII, XXXI)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_23_SU_56.png,FRAG,Umm an-Nar / Hili IId-IIe (2300-2150 a.C.),TAV XXVI,26.0,"SU 56,6","SU 56,6 Al SU 56,2",BOTTOM,RIGHT,TAV_XXVI,Degli_Espositi/TAV_XXVI/Degli_Espositi_23_SU_56.png,"p. 76 (Tavv. XXVI, XXVII, XXXI)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,plain,complete,plate,,,,,,,,
Degli_Espositi_24.png,FRAG,Umm an-Nar / Hili IId-IIe (2300-2150 a.C.),TAV XXVI,26.0,,"SU 56, Al SU 56,3",TOP,RIGHT,TAV_XXVI,Degli_Espositi/TAV_XXVI/Degli_Espositi_24.png,"p. 76 (Tavv. XXVI, XXVII, XXXI)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_25.png,FRAG,Umm an-Nar / Hili IId-IIe (2300-2150 a.C.),TAV XXVI,26.0,,"SU 56,3 SU 56,4 A2",TOP,RIGHT,TAV_XXVI,Degli_Espositi/TAV_XXVI/Degli_Espositi_25.png,"p. 76 (Tavv. XXVI, XXVII, XXXI)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_26.png,FRAG,Umm an-Nar / Hili IId-IIe (2300-2150 a.C.),TAV XXVI,26.0,,"261 SU 56, Al",TOP,RIGHT,TAV_XXVI,Degli_Espositi/TAV_XXVI/Degli_Espositi_26.png,"p. 76 (Tavv. XXVI, XXVII, XXXI)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,jar,,,,,,,,
Degli_Espositi_27.png,FRAG,Umm an-Nar / Hili IId-IIe (2300-2150 a.C.),TAV XXVI,26.0,,"261 SU 56, Al",BOTTOM,RIGHT,TAV_XXVI,Degli_Espositi/TAV_XXVI/Degli_Espositi_27.png,"p. 76 (Tavv. XXVI, XXVII, XXXI)",Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,jar,,,,,,,,
Degli_Espositi_28.png,FRAG,Umm an-Nar / Prima fase fossato,TAV XXVII,27.0,,"A2 SU 57,5 SU 57",BOTTOM,RIGHT,TAV_XXVII,Degli_Espositi/TAV_XXVII/Degli_Espositi_28.png,p. 76 (prima fase),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,bowl,,,,,,,,
Degli_Espositi_29.png,FRAG,Umm an-Nar / Prima fase fossato,TAV XXVII,27.0,,"SU 57,1 A2 unicum",TOP,RIGHT,TAV_XXVII,Degli_Espositi/TAV_XXVII/Degli_Espositi_29.png,p. 76 (prima fase),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_30.png,FRAG,Umm an-Nar / Prima fase fossato,TAV XXVII,27.0,,"Al SU 57,7 Al",TOP,RIGHT,TAV_XXVII,Degli_Espositi/TAV_XXVII/Degli_Espositi_30.png,p. 76 (prima fase),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_31.png,FRAG,Umm an-Nar / Prima fase fossato,TAV XXVII,27.0,,"Al SU 57,6 Unicum: molto granulare;",TOP,RIGHT,TAV_XXVII,Degli_Espositi/TAV_XXVII/Degli_Espositi_31.png,p. 76 (prima fase),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
Degli_Espositi_32.png,FRAG,Umm an-Nar / Prima fase fossato,TAV XXVII,27.0,,"Unicum: molto granulare; SU 57,3 con rivestimento verdastro",TOP,RIGHT,TAV_XXVII,Degli_Espositi/TAV_XXVII/Degli_Espositi_32.png,p. 76 (prima fase),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,rim,plate,,,,,,,,
Degli_Espositi_33_SU_57.png,FRAG,Umm an-Nar / Prima fase fossato,TAV XXVII,27.0,"SU 57,2","SU 57,2 262 SU 57,6",BOTTOM,RIGHT,TAV_XXVII,Degli_Espositi/TAV_XXVII/Degli_Espositi_33_SU_57.png,p. 76 (prima fase),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,jar,,,,,,,,
Degli_Espositi_34.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXVIII,28.0,,Uincum; impasto beige; rivestimento scuro con fascia chiara centrale; decoro a rete poco visibile,TOP,RIGHT,TAV_XXVIII,Degli_Espositi/TAV_XXVIII/Degli_Espositi_34.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,plain,complete,plate,,,,,,,,
Degli_Espositi_35_SU_58.png,ENT,Umm an-Nar / Prima Eta del Bronzo,TAV XXVIII,28.0,"SU 58,19","SU 58,19 SU 58,13 SU 58,5",TOP,RIGHT,TAV_XXVIII,Degli_Espositi/TAV_XXVIII/Degli_Espositi_35_SU_58.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,jar,,,,,,,,
Degli_Espositi_36.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXVIII,28.0,,"SU 58,5 F ? un ft. trovato in SU 57 SU 58,11",TOP,RIGHT,TAV_XXVIII,Degli_Espositi/TAV_XXVIII/Degli_Espositi_36.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,plain,complete,plate,,,,,,,,
Degli_Espositi_37.png,FRAG,Umm an-Nar / Prima Eta del Bronzo,TAV XXVIII,28.0,,"F ? un ft. trovato in SU 57 SU 58,11 fascia rossa",TOP,RIGHT,TAV_XXVIII,Degli_Espositi/TAV_XXVIII/Degli_Espositi_37.png,p. 68 (Cap. 4.8),Degli_Espositi,2- Capp.4-5-6+bibliografia.pdf,decorated,complete,plate,,,,,,,,
